,"Rugged Circuits Beat707 (AD060 Rev. B)",,,,,,,
,,,,,,,,
,"Part","Manufacturer","Manufacturer
Part Number","Distributor","Distributor
Part Number","Quantity","Part
Description","Reference
Numbers"
"Capacitors",,,,,,,,
,"0.1uF 0805 X5R","AVX","08055C104KAT2A","Digi-Key","478-1395-1-ND",15,"CAP CERM .1UF 10% 50V X7R 0805","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15"
"Connectors",,,,,,,,
,"60 pins of 0.1in header pins","Molex","22-28-4360","Digi-Key","WM6436-ND",2,"CONN HEADER 36POS .100 VERT TIN","X1, M1"
,"5-pin DIN","CUI","SDS-50J","Digi-Key","CP-2350-ND",2,"CONN DIN 5 PIN FEMALE PCB","X2, X3"
"Diodes",,,,,,,,
,"GP switching diode SOD-123","Diodes Inc","1N4448W-7-F","Digi-Key","1N4448W-FDICT-ND",1,"DIODE SWITCH 75V 400MW SOD123","D1"
,"3.3V zener SOT-23","NXP","BZX84-C3V3,215","Digi-Key","568-1675-1-ND",2,"DIODE ZENER 3.3V 250MW SOT23","D2, D3"
"IC's",,,,,,,,
,"74HC595 serial-to-parallel shift register","NXP","74HC595D,118","Digi-Key","568-1483-1-ND",2,"IC SHIFT REGISTER 8BIT 16SOIC","IC1, IC2"
,"74HC165 parallel-to-serial shift register","NXP","74HC165D,652","Digi-Key","568-3954-5-ND",4,"IC SHIFT REGST 8BIT PI-SO 16SOIC","IC3, IC4, IC5, IC6"
,"Quad tri-state buffer","Fairchild","MM74HC125M","Digi-Key","MM74HC125M-ND",1,"IC BUFF TRI-ST QD N-INV 14SOIC","IC7"
,"Tri-state buffer","ON Semi","M74VHC1GT125DT1G","Digi-Key","M74VHC1GT125DT1GOSCT-ND",2,"IC BUFF CMOS LVL/SFTR N-I SOT235","IC13, IC14"
